grammar_error_sentence,corrected_sentence,spelling_error_sentences
ලස්සන ළමයා බත් කමින් ගෙදර යවන්නෙහි,ලස්සන ළමයා බත් කමින් ගෙදර යවන්නීය,ලස්සන ළමයා බත් කින් ගෙදර යවන්නීය
ළමයා බත් කමින් වේගයෙන් යන්නෙමුවා,ළමයා බත් කමින් වේගයෙන් යන්නීය,ළමයා බත් කමින් වේගෙන් යන්නීය
ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් ගනිමි,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවේ
ලස්සන අපි බත් කමින් ගෙදර යවන්නීය,ලස්සන අපි බත් කමින් ගෙදර යමුවා,ලස්සන අපි බත් කමින් ගෙදර යුවා
ඔබ සින්දු කිව්වොත් ලස්සන අපි ගෙදර යන්නෙමිවා,ඔබ සින්දු කිව්වොත් ලස්සන මම ගෙදර යැවෙමි,ඔබ සින්දු කිව්වොත් ලස්සන ම ගෙදර යැවෙමි
මම නැටුම් නටද්දී වාහන යනු,මම නැටුම් නටද්දී වාහන යත්වා,මම නැටුම් නටද්දී වාහන ත්වා
ළමයි පොත බලා යන්නේය,ළමයි පොත බලා යති,ළමයි ොත බලා යති
මම නැටුම් නටද්දී අපි යන්නෙමිවා,මම නැටුම් නටද්දී මම යැවෙමි,ම නැටුම් නටද්දී මම යැවෙමි
මම නැටුම් නටද්දී ළමයි ගෙදර යැවෙයි,මම නැටුම් නටද්දී ළමයි ගෙදර ගියෝය,මම නැටුම් නටද්දී ළමයි ගෙදර ගයෝය
මම නැටුම් නටද්දී නුබලා වේගයෙන් යන්නේය,මම නැටුම් නටද්දී නුබලා වේගයෙන් යනවාලා,මම නැටුම් නටද්දී නුබලා වේගයන් යනවාලා
නුබලා පොත බලා ගෙදර යැවේ,නුබලා පොත බලා ගෙදර ගියෙහු,නුබලා පොත බලා ගෙදර ගියෙහ
වාහන පොත බලා යන්නෙමුවා,වාහන පොත බලා යන්නීය,වාහන පොත බා යන්නීය
ඔබ සින්දු කිව්වොත් අපි ඔහුගෙන් පොතක් දෙන්නෙමු,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහුෙන් පොතක් ගැනවේ
වාහනය ඔහුට පොතක් දෙවෙමු,වාහනය ඔහුට පොතක් දෙවේ,වාහනය හුට පොතක් දෙවේ
නුබ ඔහුට පොතක් දෙවන්නෙමි,නුබ ඔහුට පොතක් දෙව,නුබ ඔුට පොතක් දෙව
මම නැටුම් නටද්දී මම යන්නේය,මම නැටුම් නටද්දී මම යන්නෙමිවා,මම නැුම් නටද්දී මම යන්නෙමිවා
මම බත් කමින් ගෙදර වේගයෙන් යවමු,මම බත් කමින් ගෙදර වේගයෙන් යවමි,මම බත් කමන් ගෙදර වේගයෙන් යවමි
මම ඔහුට පොතක් දෙවෙයි,මම ඔහුට පොතක් දෙවෙමි,ම ඔහුට පොතක් දෙවෙමි
මම නැටුම් නටද්දී ළමයි ඔහුගෙන් පොතක් දෙහු,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් ොතක් ගැනවේ
මම නැටුම් නටද්දී මම වේගයෙන් ගියෙමු,මම නැටුම් නටද්දී මම වේගයෙන් ගියෙමි,ම නැටුම් නටද්දී මම වේගයෙන් ගියෙමි
ලස්සන ළමයි පොත බලා ගෙදර යමි,ලස්සන ළමයි පොත බලා ගෙදර යන්නෝය,ලස්සන ළමයි පොත බලා ගෙදර යන්නෝ
ලස්සන වාහනය පොත බලා ගෙදර යවන්නෝය,ලස්සන වාහනය පොත බලා ගෙදර යවන්නේය,ලස්සන වාහනය පොත බලා ගෙර යවන්නේය
ඔබ සින්දු කිව්වොත් නුබලා යව,ඔබ සින්දු කිව්වොත් නුබලා යනවාලා,ඔබ සින්දු කිව්වොත් නුබලා යවාලා
මම නැටුම් නටද්දී නුබලා ඔහුගෙන් පොතක් දෙවන්නෙහු,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොක් ගැනවේ
නුබ පොත බලා වේගයෙන් යයි,නුබ පොත බලා වේගයෙන් යන්නෙහිවා,නුබ පොත බලා ේගයෙන් යන්නෙහිවා
ඔබ සින්දු කිව්වොත් වාහන ඔහුට පොතක් ගන්නෙමිවා,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගෙන් යැවවේ
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් ගන්වන්නේය,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී ාහන ගෙදර වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් වාහන ගෙදර යහිවා,ඔබ සින්දු කිව්වොත් වාහන ගෙදර යවයි,ඔබ සින්දු කිව්වොත් වාහන ගෙදර යවය
නුබ ඔහුට පොතක් ගන්නවාලා,වාහන ගෙදර වේගයෙන් යැවවේ,වාන ගෙදර වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් නුබ වේගයෙන් යන්නෙමිවා,ඔබ සින්දු කිව්වොත් නුබ වේගයෙන් යන්න,ඔබ සින්දු කිව්වොත් නු වේගයෙන් යන්න
වාහනය ඔහුගෙන් පොතක් ගනිමුවා,වාහනය ඔහුගෙන් පොතක් ගන්නේය,වාහනය ඔහුගෙන් පොතක ගන්නේය
ළමයි ඔහුගෙන් පොතක් ගැනේ,ළමයි ඔහුගෙන් පොතක් ගත්තෝය,ළමයි ඔහුගෙන් පොතක් ත්තෝය
මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යමිවා,මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යනවාලා,මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර නවාලා
වාහන පොත බලා ගෙදර වේගයෙන් යන්නෙහිවා,වාහන පොත බලා ගෙදර වේගයෙන් යන්නීය,වාහන පොත බලා ගෙදර වේගයෙන් න්නීය
මම නැටුම් නටද්දී වාහන ගෙදර යවහු,මම නැටුම් නටද්දී වාහන ගෙදර යවයි,මම නැටුම් නටද්දී වාහ ගෙදර යවයි
වාහනය පොත බලා ගෙදර යන්නෙමි,වාහනය පොත බලා ගෙදර යන්නීය,වාහනය පොත බා ගෙදර යන්නීය
වාහනය යනවාලා,වාහනය යත්වා,වාහන යත්වා
නුබලා ඔහුට පොතක් දෙව,නුබලා ඔහුට පොතක් දීපල්ලා,නුබලා ඔහුට පොතක් ීපල්ලා
ඔබ සින්දු කිව්වොත් මම යවයි,ඔබ සින්දු කිව්වොත් මම යවමි,ඔබ සින්දු කිව්වොත් මම වමි
ඔබ සින්දු කිව්වොත් ළමයා ඔහුගෙන් පොතක් දෙති,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහ ඔහුගෙන් පොතක් ගැනවේ
ළමයි යවමු,ළමයි යවන්නෝය,ළයි යවන්නෝය
මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යැවවෙයි,මම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යැවෙති,ම නැටුම් නටද්දී ළමයි ගෙදර වේගයෙන් යැවෙති
ලස්සන නුබලා පොත බලා ගෙදර යන්නෙමි,ලස්සන නුබලා පොත බලා ගෙදර යනවාලා,ලස්සන නුබල පොත බලා ගෙදර යනවාලා
නුබලා බත් කමින් වේගයෙන් යැවවෙති,නුබලා බත් කමින් වේගයෙන් යැවෙහු,නුබලා බත කමින් වේගයෙන් යැවෙහු
මම නැටුම් නටද්දී නුබ ගෙදර යැවවෙති,මම නැටුම් නටද්දී නුබ ගෙදර ගියෙහි,මම නැටු් නටද්දී නුබ ගෙදර ගියෙහි
නුබලා  ගියේය,නුබලා  ගියෙහු,නුබලා ගිෙහු
මම බත් කමින් ගෙදර යවන්නෙහු,මම බත් කමින් ගෙදර යවන්නෙමි,මම බත් කමින් ගෙදර යවන්නෙි
ලස්සන ළමයා බත් කමින් ගෙදර ගියෙහු,ලස්සන ළමයා බත් කමින් ගෙදර යවයි,ලස්සන ළමයා බත කමින් ගෙදර යවයි
ඔබ සින්දු කිව්වොත් වාහනය ඔහුට පොතක් ගැනේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සි්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
ළමයි ඔහුට පොතක් ගන්වමි,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වේගයෙන් යවවේ
අපි පොත බලා ගෙදර වේගයෙන් ගියෙහි,අපි පොත බලා ගෙදර වේගයෙන් ගියෙමු,අපි පොත බලා ගෙදර වේගයෙන් ියෙමු
ළමයා පොත බලා ගෙදර වේගයෙන් යමි,ළමයා පොත බලා ගෙදර වේගයෙන් යන්නේය,ළමයා පත බලා ගෙදර වේගයෙන් යන්නේය
ඔබ සින්දු කිව්වොත් අපි යනලදී,ඔබ සින්දු කිව්වොත් අපි යවමු,ඔබ සින්දු කිව්වොත් අපි යවම
අපි ඔහුට පොතක් ගන්වමි,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වේගයේ යැවවේ
ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් ගැනේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙද වේගයෙන් යැවවේ
නුබලා ඔහුගෙන් පොතක් ගනියි,නුබලා ඔහුගෙන් පොතක් ගනිල්ලා,නුබලා ඔහුගෙන් පොතක් ගනිලලා
ඔබ සින්දු කිව්වොත් නුබ යන්නෙමිවා,ඔබ සින්දු කිව්වොත් නුබ යන්න,ඔබ සින්දු කිව්වොත් නු යන්න
ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවු,ඔබ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවන්නෝය,ඔ සින්දු කිව්වොත් ළමයි ඔහුට පොතක් දෙවන්නෝය
ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් ගන්වති,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සන්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ
ළමයා බත් කමින් යැවෙහු,ළමයා බත් කමින් යැවේ,ළමයා බත් කමි් යැවේ
මම නැටුම් නටද්දී මම ඔහුට පොතක් ගත්තෙහු,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,ම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ
වාහන ඔහුට පොතක් ගන්හි,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වගයෙන් යැවවේ
ලස්සන ළමයි පොත බලා ගෙදර යැවවේ,ලස්සන ළමයි පොත බලා ගෙදර යැවවෙති,ලස්සන ළමයි පත බලා ගෙදර යැවවෙති
මම නැටුම් නටද්දී මම ඔහුට පොතක් ගන්වති,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී ාහන ගෙදර වේගයෙන් යැවවේ
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෙමි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නීය,මම නැටුම් නටද්දී මයා ඔහුට පොතක් දෙන්නීය
මම ඔහුගෙන් පොතක් දෙති,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාන ඔහුගෙන් පොතක් ගැනවේ
මම නැටුම් නටද්දී ළමයි ඔහුගෙන් පොතක් ගන්වන්නෙහු,මම නැටුම් නටද්දී ළමයි ඔහුගෙන් පොතක් ගන්වති,මම නැටුම් නටද්දී ළමයි ඔහුගෙන් පොතක් ගන්ති
වාහනය ඔහුට පොතක් දෙවහි,වාහනය ඔහුට පොතක් දෙවයි,වාහනය ඔහට පොතක් දෙවයි
ළමයා බත් කමින් වේගයෙන් යමිවා,ළමයා බත් කමින් වේගයෙන් යන්නේය,ළමයා බ් කමින් වේගයෙන් යන්නේය
වාහන ඔහුගෙන් පොතක් දෙයි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොතක් ගැවේ
මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් ගන්වන්නේය,මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් ගන්වන්නෙමි,මම නැටුම නටද්දී මම ඔහුගෙන් පොතක් ගන්වන්නෙමි
මම නැටුම් නටද්දී අපි වේගයෙන් යනවාලා,මම නැටුම් නටද්දී මම වේගයෙන් යැවෙමි,මම නැටුම් නටද්දී මම වේගයෙන් යැවමි
ළමයා ඔහුට පොතක් දෙනවාලා,ළමයා ඔහුට පොතක් දෙත්වා,ළමයා ඔහුට පොක් දෙත්වා
ලස්සන වාහනය පොත බලා ගෙදර ගියෝය,ලස්සන වාහනය පොත බලා ගෙදර ගියේය,ලස්ස වාහනය පොත බලා ගෙදර ගියේය
ඔබ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් ගන්වන්නෙහි,ඔබ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් ගන්වන්නීය,ඔ සින්දු කිව්වොත් වාහනය ඔහුගෙන් පොතක් ගන්වන්නීය
මම බත් කමින් ගෙදර වේගයෙන් යව,මම බත් කමින් ගෙදර වේගයෙන් යමිවා,ම බත් කමින් ගෙදර වේගයෙන් යමිවා
වාහනය පොත බලා වේගයෙන් යැවවෙති,වාහනය පොත බලා වේගයෙන් යැවවෙයි,වානය පොත බලා වේගයෙන් යැවවෙයි
ඔබ සින්දු කිව්වොත් ළමයා ඔහුගෙන් පොතක් ගනු,ඔබ සින්දු කිව්වොත් ළමයා ඔහුගෙන් පොතක් ගනිත්වා,ඔබ සින්දු කිව්වොත් ළමයා ඔහුගෙන් පතක් ගනිත්වා
ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් ගන්වහු,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත වාහන ගෙදර වේගයෙන් යැවවේ
අපි බත් කමින් යවන්නීය,අපි බත් කමින් යමුවා,අපි ත් කමින් යමුවා
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් ගන්නවාලා,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන ගෙර වේගයෙන් යැවවේ
මම නැටුම් නටද්දී මම යවන්නෙමු,මම නැටුම් නටද්දී මම යවන්නෙමි,මම නැටුම් නටද්දී මම යවන්ෙමි
මම නැටුම් නටද්දී ළමයා යවු,මම නැටුම් නටද්දී ළමයා යවයි,මම නැටම් නටද්දී ළමයා යවයි
ඔබ සින්දු කිව්වොත් ළමයා යහි,ඔබ සින්දු කිව්වොත් ළමයා යවයි,ඔබ සින්දු කිව්වොත් ළමයා යවි
නුබලා බත් කමින් වේගයෙන් යන්න,නුබලා බත් කමින් වේගයෙන් යනවාලා,නුබලා බත් කමින් වේගයෙන් යනවලා
ලස්සන වාහන බත් කමින් ගෙදර යවන්නෙහු,ලස්සන වාහන බත් කමින් ගෙදර යවන්නීය,ස්සන වාහන බත් කමින් ගෙදර යවන්නීය
මම නැටුම් නටද්දී නුබලා වේගයෙන් යත්වා,මම නැටුම් නටද්දී නුබ වේගයෙන් ගියෙහි,මම නැටුම් නටද්දී නුබ වේගයෙන් ගිෙහි
ඔබ සින්දු කිව්වොත් මම ඔහුට පොතක් ගන්වයි,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවවේ,ඔබ සින්දු කිව්වොත් වාහන ගෙදර වේගයෙන් යැවේ
වාහනය ගියෙහි,වාහනය යවයි,වහනය යවයි
ළමයා පොත බලා වේගයෙන් යැවෙමු,ළමයා පොත බලා වේගයෙන් යැවේ,ළමයා පොත බලා වේගයෙන් යැව
මම නැටුම් නටද්දී වාහන ගියෙමු,මම නැටුම් නටද්දී වාහන යවයි,මම නැටු් නටද්දී වාහන යවයි
වාහන ඔහුගෙන් පොතක් දෙවහි,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔුගෙන් පොතක් ගැනවේ
වාහන ඔහුට පොතක් ගැනවේ,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වේගයෙන් ැවවේ
ලස්සන මම පොත බලා ගෙදර යනවා,වාහන පොත බලා ගෙදර යැවවේ,වාන පොත බලා ගෙදර යැවවේ
ළමයි පොත බලා ගෙදර යවහු,ළමයි පොත බලා ගෙදර යවන්නෝය,ළමයි පොත බා ගෙදර යවන්නෝය
ලස්සන නුබලා බත් කමින් ගෙදර යැවෙමි,ලස්සන නුබලා බත් කමින් ගෙදර ගියෙහු,ලස්සන නුබලා බත් කමින් ගදර ගියෙහු
අපි ඔහුගෙන් පොතක් ගන්හි,අපි ඔහුගෙන් පොතක් ගන්වමු,අපි ඔහුගෙන් පොතක් ගන්මු
මම නැටුම් නටද්දී මම ගෙදර වේගයෙන් යවන්නෙහු,මම නැටුම් නටද්දී මම ගෙදර වේගයෙන් යවන්නෙමි,මම නැටුම් නටද්දී මම ගෙදර වේගයෙන් වන්නෙමි
ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් දෙවන්නෙමි,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්ොත් වාහන ඔහුගෙන් පොතක් ගැනවේ
ලස්සන වාහනය ගෙදර යනු,ලස්සන වාහනය ගෙදර යත්වා,ල්සන වාහනය ගෙදර යත්වා
මම නැටුම් නටද්දී මම වේගයෙන් යවයි,මම නැටුම් නටද්දී මම වේගයෙන් යවමි,මම නැටු් නටද්දී මම වේගයෙන් යවමි
ඔබ සින්දු කිව්වොත් නුබලා ගෙදර වේගයෙන් යව,ඔබ සින්දු කිව්වොත් නුබලා ගෙදර වේගයෙන් යනවාලා,ඔබ සින්දු කිව්වොත් නුබල ගෙදර වේගයෙන් යනවාලා
මම නැටුම් නටද්දී නුබලා යන්නීය,මම නැටුම් නටද්දී නුබලා යනවාලා,මම නටුම් නටද්දී නුබලා යනවාලා
ඔබ සින්දු කිව්වොත් වාහනය යන්නෙමු,ඔබ සින්දු කිව්වොත් වාහනය යන්නීය,ඔබ සින්දු කිව්වොත් වාහන යන්නීය
මම නැටුම් නටද්දී මම යති,වාහන ඔහුට පොතක් දෙවෙයි,වාහන ඔහට පොතක් දෙවෙයි
මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යන්නෙහි,මම නැටුම් නටද්දී ලස්සන නුබලා ගෙදර යනවාලා,මම නැටුම් නටද්දී ලසසන නුබලා ගෙදර යනවාලා
නුබලා බත් කමින් යත්වා,නුබ බත් කමින් ගියෙහි,නුබ බත කමින් ගියෙහි
ඔබ සින්දු කිව්වොත් මම ගෙදර යව,ඔබ සින්දු කිව්වොත් මම ගෙදර යමිවා,ඔබ සින්දු කි්වොත් මම ගෙදර යමිවා
ඔබ සින්දු කිව්වොත් නුබලා වේගයෙන් යවන්නෙමු,ඔබ සින්දු කිව්වොත් නුබලා වේගයෙන් යනවාලා,ඔබ සින්දු ිව්වොත් නුබලා වේගයෙන් යනවාලා
ඔබ සින්දු කිව්වොත් මම යැවෙමු,ඔබ සින්දු කිව්වොත් මම යැවෙමි,ඔබ සිනදු කිව්වොත් මම යැවෙමි
අපි බත් කමින් ගෙදර ගියෙහි,අපි බත් කමින් ගෙදර ගියෙමු,අපි බත් කමින් ගෙර ගියෙමු
මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් දෙවන්නෙහු,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ
ඔබ සින්දු කිව්වොත් ලස්සන මම ගෙදර ගියාය,ඔබ සින්දු කිව්වොත් ලස්සන මම ගෙදර ගියෙමි,ඔබ සින්දු කිව්වොත් ලස්සන මම ගෙදර ියෙමි
ලස්සන වාහනය පොත බලා ගෙදර යමිවා,ලස්සන වාහනය පොත බලා ගෙදර යන්නේය,ලස්සන වාහනය පොත බල ගෙදර යන්නේය
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් දෙවෙමු,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ
ළමයා ගෙදර වේගයෙන් යහිවා,ළමයා ගෙදර වේගයෙන් යවයි,ළමයා ෙදර වේගයෙන් යවයි
නුබ ගෙදර වේගයෙන් යති,අපි ගෙදර වේගයෙන් යැවෙමු,අපි ගෙදර වේගෙන් යැවෙමු
අපි යැවෙහු,අපි යැවෙමු,අපි යැවෙු
වාහන වේගයෙන් යහුවා,වාහන වේගයෙන් යවයි,වාහන වේගයෙන් යවය
ඔබ සින්දු කිව්වොත් ළමයි ගෙදර ගියාය,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර යවන්නෝය,ඔබ සින්දු කිව්වොත් ළයි ගෙදර යවන්නෝය
ඔබ සින්දු කිව්වොත් ළමයි ඔහුගෙන් පොතක් ගන්නෙහිවා,ඔබ සින්දු කිව්වොත් ළමයි ඔහුගෙන් පොතක් ගනිති,ඔබ සින්දු කිව්වොත් ළමයි ඔහුගෙන් පතක් ගනිති
ඔබ සින්දු කිව්වොත් නුබලා යන්නෝය,ඔබ සින්දු කිව්වොත් නුබලා යනවාලා,ඔබ සින්දු කිව්වොත් නුබලා යනවලා
ලස්සන ළමයි ගෙදර යනවාලා,ලස්සන ළමයි ගෙදර යති,ලස්න ළමයි ගෙදර යති
මම බත් කමින් ගෙදර වේගයෙන් යැවවෙයි,මම බත් කමින් ගෙදර වේගයෙන් යැවෙමි,මම බත් මින් ගෙදර වේගයෙන් යැවෙමි
වාහනය පොත බලා ගෙදර වේගයෙන් යමිවා,වාහනය පොත බලා ගෙදර වේගයෙන් යන්නේය,වාහනය පොත ලා ගෙදර වේගයෙන් යන්නේය
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වන්නෙහු,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වන්නීය,මම නැටුම් නටද්දී වාහනය ඔහුගේ පොතක් ගන්වන්නීය
ළමයා ගෙදර වේගයෙන් යනවා,ළමයා ගෙදර වේගයෙන් යත්වා,ළමයා ගෙදර ේගයෙන් යත්වා
නුබලා පොත බලා ගෙදර යැවෙති,නුබලා පොත බලා ගෙදර යැවෙහු,නුබලා පොත බලා ගෙර යැවෙහු
ලස්සන වාහනය ගෙදර යවු,ලස්සන වාහනය ගෙදර යවයි,ලස්සන වාහනය ගෙදර යයි
නුබලා බත් කමින් ගෙදර ගියෝය,නුබලා බත් කමින් ගෙදර ගියෙහු,ුබලා බත් කමින් ගෙදර ගියෙහු
මම නැටුම් නටද්දී මම ගෙදර යවයි,මම නැටුම් නටද්දී මම ගෙදර යවමි,මම නැටුම් නටද්දී මම ගෙදර යවම
වාහනය බත් කමින් ගෙදර වේගයෙන් යවහු,වාහනය බත් කමින් ගෙදර වේගයෙන් යවයි,වාහනය බත කමින් ගෙදර වේගයෙන් යවයි
වාහන බත් කමින් ගෙදර වේගයෙන් යහුවා,වාහන බත් කමින් ගෙදර වේගයෙන් යවයි,වාහන බත් කමි් ගෙදර වේගයෙන් යවයි
මම නැටුම් නටද්දී අපි ඔහුගෙන් පොතක් දෙන්නෙමි,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ැනවේ
මම නැටුම් නටද්දී වාහන ඔහුට පොතක් දෙවමු,මම නැටුම් නටද්දී වාහන ඔහුට පොතක් දෙවන්නේය,මම නැටුම් නටද්දී ාහන ඔහුට පොතක් දෙවන්නේය
වාහනය ඔහුට පොතක් ගන්වහු,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙදර වේගයෙන් යැවේ
නුබලා බත් කමින් ගෙදර යන්නෙමුවා,නුබලා බත් කමින් ගෙදර යනවාලා,නුබලා බත් කමින් ගෙද යනවාලා
ළමයා බත් කමින් යැවෙමු,ළමයා බත් කමින් යැවේ,ළමයා ත් කමින් යැවේ
වාහනය පොත බලා ගෙදර වේගයෙන් යවමු,වාහනය පොත බලා ගෙදර වේගයෙන් යවන්නේය,වාහනය ොත බලා ගෙදර වේගයෙන් යවන්නේය
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වහි,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වයි,මම නැටුම් නටද්ී වාහනය ඔහුගෙන් පොතක් ගන්වයි
ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගන්වන්නීය,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොතක් ගනිමිවා,ඔබ සින්දු කිව්වොත් මම ඔහුගෙන් පොත් ගනිමිවා
අපි පොත බලා යවන්නීය,අපි පොත බලා යමුවා,අපි පොත බල යමුවා
අපි පොත බලා ගෙදර යවහි,අපි පොත බලා ගෙදර යවමු,අපි පොත බලා ගෙර යවමු
ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගත්තෙමි,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගන්වයි,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොත් ගන්වයි
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගත්තෙහු,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වයි,ම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වයි
ලස්සන ළමයි පොත බලා ගෙදර යන්න,ලස්සන ළමයි පොත බලා ගෙදර යති,ලස්සන ළමි පොත බලා ගෙදර යති
ඔබ සින්දු කිව්වොත් ළමයි ගෙදර වේගයෙන් යැවේ,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර වේගයෙන් ගියෝය,ඔබ සින්දු කිව්වොත් ළමයි ගෙදර වේගයන් ගියෝය
ඔබ සින්දු කිව්වොත් නුබලා ඔහුගෙන් පොතක් ගනින්,ඔබ සින්දු කිව්වොත් නුබලා ඔහුගෙන් පොතක් ගන්නවාලා,ඔබ සින්ද කිව්වොත් නුබලා ඔහුගෙන් පොතක් ගන්නවාලා
මම නැටුම් නටද්දී මම ඔහුගෙන් පොතක් දෙමි,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගැනවේ,මම නැටුම් නටද්දී වාහන ඔහුගෙන් පොතක් ගනවේ
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් ගත්තෙහු,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන ෙදර වේගයෙන් යැවවේ
ඔබ සින්දු කිව්වොත් නුබලා යවති,ඔබ සින්දු කිව්වොත් නුබලා යනවාලා,ඔබ සි්දු කිව්වොත් නුබලා යනවාලා
ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් දෙහිවා,ඔබ සින්දු කිව්වොත් ළමයා ඔහුට පොතක් දෙවයි,ඔබ සින්දු කිව්වොත් ළමයා හුට පොතක් දෙවයි
